date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:32	21950/21950	---M--	200	added ('OK')	image/png	etag:%22627cef94-55be%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/SEND-policy-S-LB-1.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/SEND-policy-S-LB-1.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:32	20041/20041	---M--	200	added ('OK')	image/png	etag:%22627e2a7a-4e49%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/SEND-info-report-S-LB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/SEND-info-report-S-LB.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:34	109069/109069	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20May%202025%2013:37:10%20GMT	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/01/2021-2022-send-information-report.pdf	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/01/2021-2022-send-information-report.pdf	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:34	173144/173144	---M--	200	added ('OK')	application/pdf	etag:%22671242e6-2a458%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2024/10/2024-2025-send-information-report.pdf	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2024/10/2024-2025-send-information-report.pdf	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:34	23279/23279	---M--	200	added ('OK')	image/png	etag:%22627e2ac7-5aef%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/TrustPoliciesPage-S-DG.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/TrustPoliciesPage-S-DG.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:34	25070/25070	---M--	200	added ('OK')	image/png	etag:%22627bbd71-61ee%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/LocalOffer-S-DB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/LocalOffer-S-DB.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:35	21904/21904	---M--	200	added ('OK')	image/png	etag:%22627e296c-5590%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/GOV-UK-S-DB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/GOV-UK-S-DB.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:35	17657/17657	---M--	200	added ('OK')	image/png	etag:%22627bd20d-44f9%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/Accessibility-Plan-S-LB-DB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/Accessibility-Plan-S-LB-DB.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:35	16789/16789	---M--	200	added ('OK')	image/png	etag:%22627e2b7b-4195%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/Accessibility-floor-plan-S-LB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/Accessibility-floor-plan-S-LB.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:35	19518/19518	---M--	200	added ('OK')	image/png	etag:%22627e2bcf-4c3e%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/SEND-Team-S-LB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/SEND-Team-S-LB.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:36	100221/100221	---M--	200	added ('OK')	application/pdf	etag:%22649ebe5d-1877d%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2023/06/SEND-Team-June-2023.pdf	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2023/06/SEND-Team-June-2023.pdf	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:36	18695/18695	---M--	200	added ('OK')	image/jpeg	etag:%225d1492c4-4907%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2019/06/Staff-Sarah-Cardy-150x150.jpg	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2019/06/Staff-Sarah-Cardy-150x150.jpg	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:36	1379/1379	---M--	200	added ('OK')	image/png	etag:%2262a30088-563%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/06/40x20-spacer.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/06/40x20-spacer.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:36	6099/6099	---M--	200	added ('OK')	image/jpeg	etag:%2266717bd1-17d3%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2024/06/EmmaPearce-sqaure-150x150.jpg	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2024/06/EmmaPearce-sqaure-150x150.jpg	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:36	27224/27224	---M--	200	added ('OK')	image/png	etag:%22627bb41e-6a58%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/Wiltshire-SEND-IASS-S-DB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/Wiltshire-SEND-IASS-S-DB.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:37	23524/23524	---M--	200	added ('OK')	image/png	etag:%22627e2c5e-5be4%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/IPSEA-S-DB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/IPSEA-S-DB.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:37	39718/39718	---M--	200	added ('OK')	image/png	etag:%22627e2c8a-9b26%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/WiltsPCC-S-DB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/WiltsPCC-S-DB.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:37	132613/132613	---M--	200	added ('OK')	image/png	etag:%22671246b0-20605%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2024/10/KS3-SEN-infographic.2024.10-1024x489.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2024/10/KS3-SEN-infographic.2024.10-1024x489.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:37	129821/129821	---M--	200	added ('OK')	image/png	etag:%2267160e3b-1fb1d%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2024/10/KS4-SEN-infographic-20241021-1024x489.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2024/10/KS4-SEN-infographic-20241021-1024x489.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:38	162182/162182	---M--	200	added ('OK')	image/png	etag:%22671246b6-27986%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2024/10/KS5-SEN-infographic-2024.10-1024x489.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2024/10/KS5-SEN-infographic-2024.10-1024x489.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:38	199815/199815	---M--	200	added ('OK')	application/pdf	etag:%22642563e3-30c87%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2023/03/Test-assistance-AA-guide-for-parents-Updated-March-2023-002.pdf	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2023/03/Test-assistance-AA-guide-for-parents-Updated-March-2023-002.pdf	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:39	109066/109066	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2025%20May%202025%2013:37:16%20GMT	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/09/Word-Processor-Policy-2022-23c.pdf	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/09/Word-Processor-Policy-2022-23c.pdf	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:39	101999/101999	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2218e6f-5e943c05811fa%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/09/Word-processor-policy-2022-23c.docx	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/09/Word-processor-policy-2022-23c.docx	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2025%20May%202025%2013:37:16%20GMT	https://www.stjohns.excalibur.org.uk/parents/behaviour/	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/parents/behaviour/index.html	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:40	400628/400628	---M--	200	added ('OK')	image/png	etag:%22627bd89f-61cf4%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/SEN-Photo-1600x440-1-1024x282.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2022/05/SEN-Photo-1600x440-1-1024x282.png	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:41	1396428/1396428	---MCZ	200	added ('OK')	application/javascript	etag:W/%22681d5120-154ecc%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-js-423982b15095819acc2b2c4b0325b218.js	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-js-423982b15095819acc2b2c4b0325b218.js	(from https://www.stjohns.excalibur.org.uk/parents/send/)
14:36:42	29402/29402	---MCZ	200	added ('OK')	application/json	date:Sun,%2025%20May%202025%2013:37:18%20GMT	https://www.stjohns.excalibur.org.uk/wp-json/wp/v2/pages/47686	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-json/wp/v2/pages/47686.json	(from https://www.stjohns.excalibur.org.uk/parents/uniform-policy-2024-25/)
14:36:42	2721/2721	---MCZ	200	added ('OK')	application/json	date:Sun,%2025%20May%202025%2013:37:19%20GMT	https://www.stjohns.excalibur.org.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stjohns.excalibur.org.uk%2Fparents%2Funiform-policy-2024-25%2F	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-json/oembed/1.0/embed1b11.json	(from https://www.stjohns.excalibur.org.uk/parents/uniform-policy-2024-25/)
14:36:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2025%20May%202025%2013:37:20%20GMT	https://www.stjohns.excalibur.org.uk/?p=47686	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/index5916.html	(from https://www.stjohns.excalibur.org.uk/parents/uniform-policy-2024-25/)
14:36:43	2904/2904	---MCZ	200	added ('OK')	text/xml	date:Sun,%2025%20May%202025%2013:37:20%20GMT	https://www.stjohns.excalibur.org.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stjohns.excalibur.org.uk%2Fparents%2Funiform-policy-2024-25%2F&format=xml	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-json/oembed/1.0/embed55dd	(from https://www.stjohns.excalibur.org.uk/parents/uniform-policy-2024-25/)
14:36:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2025%20May%202025%2013:37:20%20GMT	https://www.stjohns.excalibur.org.uk/contact	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/contact	(from https://www.stjohns.excalibur.org.uk/parents/uniform-policy-2024-25/)
14:36:43	25933/25933	---M--	200	added ('OK')	image/png	etag:%22608bd36e-654d%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2021/04/NameLabel.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2021/04/NameLabel.png	(from https://www.stjohns.excalibur.org.uk/parents/uniform-policy-2024-25/)
14:36:43	21417/21417	---M--	200	added ('OK')	image/png	etag:%22666974a6-53a9%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2024/06/Illustrated-policy-LB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2024/06/Illustrated-policy-LB.png	(from https://www.stjohns.excalibur.org.uk/parents/uniform-policy-2024-25/)
14:36:44	36065/36065	---M--	200	added ('OK')	image/png	etag:%22666976cc-8ce1%22	https://www.stjohns.excalibur.org.uk/wp-content/uploads/2024/06/SchoolShop-website-LB.png	C:/Users/Teddy/Documents/website/website/www.stjohns.excalibur.org.uk/wp-content/uploads/2024/06/SchoolShop-website-LB.png	(from https://www.stjohns.excalibur.org.uk/parents/uniform-policy-2024-25/)
